Book	Chapter	Verse	Hebrew
Job	19	1	
Job	20	1	
Job	21	1	
Job	22	1	
Job	23	1	
Job	24	1	
Job	25	1	
Job	26	1	
Job	27	1	
Job	28	1	
Job	29	1	
Job	30	1	
Job	31	1	
Job	32	1	
Job	33	1	
Job	34	1	
Job	35	1	
Job	36	1	
Job	37	1	
Job	38	1	
Job	39	1	
Job	40	1	
Job	41	1	
Job	42	1	
Song of Songs	1	1	
Song of Songs	2	1	
Song of Songs	3	1	
Song of Songs	4	1	
Song of Songs	5	1	
Song of Songs	6	1	
Song of Songs	7	1	
Song of Songs	8	1	
Ruth	1	1	
Ruth	2	1	
Ruth	3	1	
Ruth	4	1	
Lamentations	1	1	
Lamentations	2	1	
Lamentations	3	1	
Lamentations	4	1	
Lamentations	5	1	
Ecclesiastes	1	1	
Ecclesiastes	2	1	
Ecclesiastes	3	1	
Ecclesiastes	4	1	
Ecclesiastes	5	1	
Ecclesiastes	6	1	
Ecclesiastes	7	1	
Ecclesiastes	8	1	
Ecclesiastes	9	1	
Ecclesiastes	10	1	
Ecclesiastes	11	1	
Ecclesiastes	12	1	
Esther	1	1	
Esther	2	1	
Esther	3	1	
Esther	4	1	
Esther	5	1	
Esther	6	1	
Esther	7	1	
Esther	8	1	
Esther	9	1	
Esther	10	1	
Daniel	1	1	
Daniel	2	1	
Daniel	3	1	
Daniel	4	1	
Daniel	5	1	
Daniel	6	1	
Daniel	7	1	
Daniel	8	1	
Daniel	9	1	
Daniel	10	1	
Daniel	11	1	
Daniel	12	1	
Ezra	1	1	
Ezra	2	1	
Ezra	3	1	
Ezra	4	1	
Ezra	5	1	
Ezra	6	1	
Ezra	7	1	
Ezra	8	1	
Ezra	9	1	
Ezra	10	1	
Nehemiah	1	1	
Nehemiah	2	1	
Nehemiah	3	1	
Nehemiah	4	1	
Nehemiah	5	1	
Nehemiah	6	1	
Nehemiah	7	1	
Nehemiah	8	1	
Nehemiah	9	1	
Nehemiah	10	1	
Nehemiah	11	1	
Nehemiah	12	1	
Nehemiah	13	1	
I Chronicles	1	1	
I Chronicles	2	1	
I Chronicles	3	1	
I Chronicles	4	1	
I Chronicles	5	1	
I Chronicles	6	1	
I Chronicles	7	1	
I Chronicles	8	1	
I Chronicles	9	1	
I Chronicles	10	1	
I Chronicles	11	1	
I Chronicles	12	1	
I Chronicles	13	1	
I Chronicles	14	1	
I Chronicles	15	1	
I Chronicles	16	1	
I Chronicles	17	1	
I Chronicles	18	1	
I Chronicles	19	1	
I Chronicles	20	1	
I Chronicles	21	1	
I Chronicles	22	1	
I Chronicles	23	1	
I Chronicles	24	1	
I Chronicles	25	1	
I Chronicles	26	1	
I Chronicles	27	1	
I Chronicles	28	1	
I Chronicles	29	1	
II Chronicles	1	1	
II Chronicles	2	1	
II Chronicles	3	1	
II Chronicles	4	1	
II Chronicles	5	1	
II Chronicles	6	1	
II Chronicles	7	1	
II Chronicles	8	1	
II Chronicles	9	1	
II Chronicles	10	1	
II Chronicles	11	1	
II Chronicles	12	1	
II Chronicles	13	1	
II Chronicles	14	1	
II Chronicles	15	1	
II Chronicles	16	1	
II Chronicles	17	1	
II Chronicles	18	1	
II Chronicles	19	1	
II Chronicles	20	1	
II Chronicles	21	1	
II Chronicles	22	1	
II Chronicles	23	1	
II Chronicles	24	1	
II Chronicles	25	1	
II Chronicles	26	1	
II Chronicles	27	1	
II Chronicles	28	1	
II Chronicles	29	1	
II Chronicles	30	1	
II Chronicles	31	1	
II Chronicles	32	1	
II Chronicles	33	1	
II Chronicles	34	1	
II Chronicles	35	1	
II Chronicles	36	1	
